,year,industrial,industrial_alt,commercial,commercial_alt,residential,residential_alt
0,1990,100.64,100.64,80.0,80.0,93.79,93.79
1,1991,99.57,99.57,83.38,83.38,98.1,98.1
2,1992,95.28,95.28,86.71,86.71,99.48,99.48
3,1993,96.84,96.84,88.83,88.83,100.46,100.46
4,1994,96.12,96.12,87.78,87.78,101.41,101.41
5,1995,101.78,101.78,91.86,91.86,102.21,102.21
6,1996,107.63117962182857,107.63117962182857,95.423,95.423,107.513,107.513
7,1997,108.102,108.102,99.884,99.884,104.455,104.455
8,1998,108.44300000000001,108.44300000000001,99.091,99.091,109.41,109.41
9,1999,112.25,112.25,101.4579075,101.4579075,110.308,110.308
10,2000,115.286,115.286,103.465,103.465,111.842,111.842
11,2001,112.495,112.495,106.047,106.047,115.337,115.337
12,2002,110.8163580179338,110.8163580179338,103.219,103.219,120.014,120.014
13,2003,109.92642290720676,109.92642290720676,103.938,103.938,123.001,123.001
14,2004,112.09163580940715,112.09163580940715,103.28,103.28,124.2,124.2
15,2005,116.69927453685709,116.69927453685709,106.939,106.939,125.711,125.711
16,2006,115.53260105945772,117.4986044824709,105.629,107.6714770903096,124.704,126.57205562516863
17,2007,113.40574873758105,118.44899194801464,105.781,108.54237783567527,123.076,127.59583370052621
18,2008,114.15090713070066,119.42391177293318,107.87120397034751,109.43575914906157,119.79999999999998,128.6460385676664
19,2009,99.73798452668338,120.26747723269528,103.46928503823607,110.2087720667469,118.54079334272313,129.55474565203357
20,2010,104.95839178283407,121.23138647112278,105.46783489680477,111.09206367637591,118.83195263410775,130.5930896756178
21,2011,102.79588669814831,122.24667844650853,103.87087061546734,112.02244057020557,111.58641761428098,131.6867843024632
22,2012,98.94113580756009,123.05779165134962,105.15309957418515,112.76571541365891,114.6626254267995,132.56053311108647
23,2013,97.55317351359611,123.83181656485242,105.8780785569799,113.47500388656141,113.41247237181817,133.39432960457384
24,2014,93.5658072564488,124.78046551673968,101.7048800374592,114.34431152080751,108.07609974809642,134.4162349151594
25,2015,93.31798839972494,125.7718046373028,102.77777527594614,115.25273888365643,107.76384778252712,135.4841270051462
26,2016,92.05029022412138,126.81124263569524,104.01607327765414,116.20524232081348,107.97130995089329,136.60383225382492
27,2017,92.88842092081869,127.56865508536943,102.62860704780661,116.89930773190673,105.3958643631403,137.41973343949098
