,year,actual_co2,gas_reduction,wind_reduction,solar_reduction,nuclear_reduction,bio_reduction,eff_reduction
0,1990,202.9972279603228,-0.0,0.0,0.0,0.0,0.0,0.0
1,1991,199.59962318311682,0.1618105746269898,-1.893942729839869e-05,0.0,0.8904286823041236,0.01850696435910031,0.0
2,1992,187.56357306894168,3.6538233976398113,0.01657168857614022,0.0,7.4611757572441295,0.23233834924406113,-3.568232231757374e-14
3,1993,170.2099378429496,8.62152594795141,0.1509684581729941,0.0,16.64078960730672,0.4327312984713816,-6.992879791525102e-14
4,1994,166.039945801194,16.551902981433365,0.24557950968475264,0.0,15.503467106782972,0.667474256082843,0.0
5,1995,162.80569361191058,19.390117866922733,0.2820262732501358,0.0,14.43837635711577,0.7467908457582789,0.0
6,1996,162.53222112308794,26.572176663251724,0.3546869800904662,0.0,16.708168052058685,0.8536961269028025,-3.364783406977766e-14
7,1997,149.9441000712251,41.23114255335696,0.5076119876726205,0.0,20.116697052650004,1.1249995505987371,3.439300874299283e-14
8,1998,154.89238701599356,46.38471801971191,0.6845501472744936,0.0,19.65637883247148,1.5624028199653994,-3.5516895859363386e-14
9,1999,146.8722862860557,56.343581236865276,0.6555260614831806,0.0007807252734775589,15.1580799616967,2.1415991668862158,-3.584898559870008e-14
10,2000,158.13943330188906,59.50916790087608,0.7245406467982629,0.0007745897508095784,5.81814475291468,2.462555250337617,-3.5626764575553047e-14
11,2001,168.9491960476752,56.831380553027664,0.7441089533643623,0.0015597001074204196,8.543498234940259,2.9704530746438587,-3.743095547310893e-14
12,2002,164.6735395516696,62.395686238070276,0.9754863959103638,0.002344731704532818,6.41165948540159,3.4065100201146836,0.0
13,2003,173.7862413514375,58.580960817168915,0.9775640538384772,0.002296923804930534,5.196143526680614,4.158717735045418,0.0
14,2004,173.55851230305043,62.68543351749279,1.4942559397527613,0.003100258075065825,-0.7908513837469687,5.138564076380993,-3.759216263418488e-14
15,2005,172.87281308097667,60.53133227449421,2.237991843047548,0.006172095734169982,-0.24130684365547353,6.449836897742398,0.0
16,2006,181.87400406190403,54.09475651797461,3.2318076142426126,0.00841453750930039,-4.787366017239959,6.53014480304128,2.38562004254433
17,2007,177.73080206877205,66.44878729793139,4.056223543119175,0.010790600946515327,-14.326537005521669,6.616989411733699,4.681595192716109
18,2008,172.72126338854608,69.98140427335235,5.464533360801738,0.013109387843819082,-21.208613127209816,6.882096674562821,11.589990957245858
19,2009,151.0457853955203,66.65932921526985,7.205847245054654,0.015546141517163017,-6.5209210504046,7.783022814696049,20.703670950331265
20,2010,157.11584536987024,70.21136346955659,7.955188998393731,0.03118397749164333,-12.728629151676492,8.943218016167485,19.468898611297487
21,2011,144.2560225695752,59.203872000825264,12.240983729789436,0.18697128254719741,-5.142916757004989,9.689971668549422,30.918253224508742
22,2012,157.93571598331928,39.58809707668341,15.004046058959258,1.023947998415808,-3.3527184486901564,10.634549309711904,36.238641144351625
23,2013,146.8777702774658,39.23269523360065,21.890196675732177,1.5501789141064186,-2.376080022275268,13.446447078953286,43.50661797225213
24,2014,123.61644071988145,41.540298104367814,24.930890443623387,3.163450627728369,-4.516613453879569,17.160120950455696,59.149843918400556
25,2015,103.29344456524129,42.98683696615875,32.110051603264104,6.011048762269999,0.5097658354962384,22.79183846037645,60.42089466886652
26,2016,81.13080357488074,65.8298055977115,30.802616963805885,8.591915296527295,1.584952762574877,24.249586954501165,64.81692346003837
27,2017,71.81516359192224,61.36726242518151,41.005743422535666,9.490474641452165,1.040998052890765,25.799078127863254,69.05875703901047
